RISC-V Core AXI Test Log
Simulation Start:                    0

Cycle      0: PC=0xxxxxxxxx, Instr=0xxxxxxxxx, ALU=0xxxxxxxxx, Stall=x
Cycle     78: PC=0x0000001c, Instr=0x00400313, ALU=0x00000004, Stall=1
Cycle     78: PC=0x0000001c, Instr=0x00400313, ALU=0x00000004, Stall=1
Cycle     82: PC=0x0000001c, Instr=0x006283b3, ALU=0x00000004, Stall=0
Cycle     82: PC=0x00000020, Instr=0x006283b3, ALU=0x00000004, Stall=1
Cycle      1: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      3: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      2: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      2: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      6: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      6: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle     10: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle     10: PC=0x00000000, Instr=0x00000093, ALU=0x00000000, Stall=0
Cycle     14: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle     14: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle     18: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle     18: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle     22: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=0
Cycle     22: PC=0x00000008, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle     26: PC=0x00000008, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle     26: PC=0x00000008, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle     30: PC=0x00000008, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle     30: PC=0x00000008, Instr=0x00100113, ALU=0x00000000, Stall=0
